CpG;Gene Location;;Annotated Gene;AN-active;;AN-remitted;;No Eating Disorder;
cg25221919;chr1;OpenSea;;0.59714366;0.04264013;0.57178022;0.03329282;0.56943884;0.03635567
cg01883046;chr2;Island;;0.78690969;0.03219071;0.76697862;0.03832539;0.77340234;0.03569186
cg22888848;chr2;OpenSea;EPHA4;0.50280122;0.03744547;0.4901901;0.02718684;0.48642606;0.04297689
cg01423695;chr7;OpenSea;PRKAG2;0.68457736;0.04763585;0.64784889;0.03622544;0.64737081;0.03933134
cg25570328;chr2;OpenSea;SULT1C2;0.53583383;0.05833343;0.50576929;0.04408223;0.50282953;0.049445
cg15104126;chr12;OpenSea;VWF;0.70766664;0.03652668;0.67655602;0.03282762;0.67121723;0.03529499
cg00024471;chr3;OpenSea;TPRG1 ;0.61220342;0.04057389;0.58254634;0.03047272;0.58580771;0.03613672
cg26200585;chr19;OpenSea;PRX;0.80647802;0.0602714;0.83797561;0.02794637;0.83445518;0.03240889
cg05413285;chr2;OpenSea;;0.6815778;0.04269869;0.70853937;0.03909993;0.70533016;0.04140721
cg17782974;chr10;S_Shelf;TRIM8;0.30516395;0.04091201;0.33290202;0.04079962;0.34346052;0.03598975
cg15393221;chr19;OpenSea;;0.36949302;0.04488464;0.39866411;0.02480108;0.39181984;0.03039971
cg14061067;chr9;OpenSea;BNC2;0.58795286;0.07653759;0.61383608;0.04814847;0.62315613;0.0735963
cg07795968;chr20;OpenSea;JPH2;0.44520844;0.05411464;0.459523;0.04292926;0.46414308;0.05043514
;;;;;;;;;
cg05901196;chr10;N_Shore;CCDC6;0.29620354;0.04874185;0.33525182;0.04896234;0.33690531;0.04720246
cg03546163;chr6;N_Shore;FKBP5;0.46241301;0.07055516;0.51937985;0.04736799;0.52743589;0.05438046
